url,year,category,linked_from_current,content_at,assessment,old_server_status_2026-09-10,old_server_final,new_status_2026-09-10,wayback_first_200,wayback_last_200,reconciled
/2010/order,2010,dynamic_endpoint,False,,動的機能の廃止(想定内),404,404,404,20100910,20100910,旧サーバーも 404(Wayback からのみ復元可能)
/2010/order/check,2010,dynamic_endpoint,False,,動的機能の廃止(想定内),404,404,404,20100910,20100910,旧サーバーも 404(Wayback からのみ復元可能)
/2010/order/view/GET8ARhJa6pa,2010,dynamic_endpoint,False,,動的機能の廃止(想定内),404,404,404,20101004,20101004,旧サーバーも 404(Wayback からのみ復元可能)
/2010/cheatsheet.html,2010,editorial_html,True,,URL変更または欠落(主に2011/2010),404,404,404,20101010,20120207,旧サーバーも 404(Wayback からのみ復元可能)
/2010/info/social.html,2010,editorial_html,False,/2010/news/social.html,URL変更・内容は別パスに存在(許容),404,404,404,20101012,20120208,旧サーバーも 404(Wayback からのみ復元可能)
/2010/info/yapcasia-2010.html,2010,editorial_html,True,,URL変更または欠落(主に2011/2010),404,404,404,20101028,20101028,旧サーバーも 404(Wayback からのみ復元可能)
/2010/info/yapcasia-reselling.html,2010,editorial_html,True,/2010/news/yapcasia-reselling.html,URL変更・内容は別パスに存在(許容),404,404,404,20101004,20120207,旧サーバーも 404(Wayback からのみ復元可能)
/2010/info/yapcasia-sponsored.html,2010,editorial_html,True,/2010/news/yapcasia-sponsored.html,URL変更・内容は別パスに存在(許容),404,404,404,20100829,20120208,旧サーバーも 404(Wayback からのみ復元可能)
/2010/info/yapcasia-tokyo-2010-lt.html,2010,editorial_html,True,,URL変更または欠落(主に2011/2010),404,404,404,20100805,20100805,旧サーバーも 404(Wayback からのみ復元可能)
/2010/info/yapcasia2010-tshirts.html,2010,editorial_html,False,/2010/news/yapcasia2010-tshirts.html,URL変更・内容は別パスに存在(許容),404,404,404,20101010,20120208,旧サーバーも 404(Wayback からのみ復元可能)
/2010/news/yapcasia-tokyo-2010-blog.html,2010,editorial_html,False,,URL変更または欠落(主に2011/2010),200,200,404,20100807,20100807,旧サーバーに現存(旧から復元可能)
/2010/post.html,2010,editorial_html,False,/2010/news/post.html,URL変更・内容は別パスに存在(許容),404,404,404,20101012,20120207,旧サーバーも 404(Wayback からのみ復元可能)
/2010/qr.html,2010,editorial_html,False,/2010/news/qr.html,URL変更・内容は別パスに存在(許容),404,404,404,20120204,20120208,旧サーバーも 404(Wayback からのみ復元可能)
/2010/talks-still-wanted-and-prize-announcement.html,2010,editorial_html,False,/2010/news/talks-still-wanted-and-prize-announcement.html,URL変更・内容は別パスに存在(許容),404,404,404,20100829,20120208,旧サーバーも 404(Wayback からのみ復元可能)
/2010/tells-us-your-yapcasia-experience.html,2010,editorial_html,False,/2010/news/tells-us-your-yapcasia-experience.html,URL変更・内容は別パスに存在(許容),404,404,404,20101022,20120208,旧サーバーも 404(Wayback からのみ復元可能)
/2010/thanks-for-the-talk-sbumissions.html,2010,editorial_html,False,/2010/news/thanks-for-the-talk-sbumissions.html,URL変更・内容は別パスに存在(許容),404,404,404,20120204,20120207,旧サーバーも 404(Wayback からのみ復元可能)
/2010/tickets.html,2010,editorial_html,True,,URL変更または欠落(主に2011/2010),404,404,404,20100910,20111010,旧サーバーも 404(Wayback からのみ復元可能)
/2010/tickets_en.html,2010,editorial_html,True,,URL変更または欠落(主に2011/2010),404,404,404,20100911,20100911,旧サーバーも 404(Wayback からのみ復元可能)
/2010/yapcasia-deadline.html,2010,editorial_html,False,/2010/news/yapcasia-deadline.html,URL変更・内容は別パスに存在(許容),404,404,404,20101012,20120208,旧サーバーも 404(Wayback からのみ復元可能)
/2010/yapcasia-en-group-opened-for-foreign-visitors.html,2010,editorial_html,False,/2010/news/yapcasia-en-group-opened-for-foreign-visitors.html,URL変更・内容は別パスに存在(許容),404,404,404,20120204,20120207,旧サーバーも 404(Wayback からのみ復元可能)
/2010/yapcasia-on-android.html,2010,editorial_html,False,/2010/news/yapcasia-on-android.html,URL変更・内容は別パスに存在(許容),404,404,404,20120204,20120207,旧サーバーも 404(Wayback からのみ復元可能)
/2010/yapcasia-pre-conference-meetup-yapcasia.html,2010,editorial_html,False,/2010/news/yapcasia-pre-conference-meetup-yapcasia.html,URL変更・内容は別パスに存在(許容),404,404,404,20120204,20120208,旧サーバーも 404(Wayback からのみ復元可能)
/2010/yapcasia-tickets.html,2010,editorial_html,False,/2010/news/yapcasia-tickets.html,URL変更・内容は別パスに存在(許容),404,404,404,20120204,20120208,旧サーバーも 404(Wayback からのみ復元可能)
/2010/info/,2010,other,False,,要確認,200,200,404,20100807,20101007,旧サーバーに現存(旧から復元可能)
/2010/talks/63D64FBA-BC8C-11DF-8791-B9FC0F276C45,2010,other,False,,要確認,404,404,404,20100919,20100919,旧サーバーも 404(Wayback からのみ復元可能)
/2010/talks/63D7BA3A-BC8C-11DF-8791-B9FC0F276C45,2010,other,False,,要確認,404,404,404,20101004,20101004,旧サーバーも 404(Wayback からのみ復元可能)
/2010/talks/63D7CA98-BC8C-11DF-8791-B9FC0F276C45,2010,other,False,,要確認,404,404,404,20101004,20101004,旧サーバーも 404(Wayback からのみ復元可能)
/2011/talk/signin?lang=ja,2011,dynamic_endpoint,True,,動的機能の廃止(想定内),404,404,404,20111007,20111215,旧サーバーも 404(Wayback からのみ復元可能)
/2011/ticket/,2011,dynamic_endpoint,True,,動的機能の廃止(想定内),404,404,404,20111016,20111016,旧サーバーも 404(Wayback からのみ復元可能)
/2011/ticket/?lang=ja,2011,dynamic_endpoint,True,,動的機能の廃止(想定内),404,404,404,20111005,20111005,旧サーバーも 404(Wayback からのみ復元可能)
/2011/news/post.html,2011,editorial_html,False,,URL変更または欠落(主に2011/2010),200,200,404,20110528,20120307,旧サーバーに現存(旧から復元可能)
/2011/news/yapcasia-2011-call-for-papers.html,2011,editorial_html,False,,URL変更または欠落(主に2011/2010),200,200,404,20111231,20221226,旧サーバーに現存(旧から復元可能)
/2011/news/yapcasia-2011-evolution.html,2011,editorial_html,False,,URL変更または欠落(主に2011/2010),200,200,404,20110528,20111004,旧サーバーに現存(旧から復元可能)
/2011/news/yapcasia-2011-logo.html,2011,editorial_html,False,,URL変更または欠落(主に2011/2010),200,200,404,20111004,20120307,旧サーバーに現存(旧から復元可能)
/2011/news/yapcasia-2011-prize.html,2011,editorial_html,False,,URL変更または欠落(主に2011/2010),200,200,404,20111004,20221204,旧サーバーに現存(旧から復元可能)
/2011/news/yapcasia-2011-sponsor.html,2011,editorial_html,False,,URL変更または欠落(主に2011/2010),200,200,404,20110717,20111231,旧サーバーに現存(旧から復元可能)
/2011/news/yapcasia-special.html,2011,editorial_html,False,,URL変更または欠落(主に2011/2010),200,200,404,20111005,20111231,旧サーバーに現存(旧から復元可能)
/2011/news/yapcasia-tokyo-2011.html,2011,editorial_html,False,,URL変更または欠落(主に2011/2010),200,200,404,20110527,20120307,旧サーバーに現存(旧から復元可能)
/2011/news/yapcasia-volunteer.html,2011,editorial_html,False,,URL変更または欠落(主に2011/2010),200,200,404,20110613,20120307,旧サーバーに現存(旧から復元可能)
/2011/en/,2011,lang_index,False,,言語別indexの欠落,404,404,404,20110615,20111231,旧サーバーも 404(Wayback からのみ復元可能)
/2012/login,2012,dynamic_endpoint,True,,動的機能の廃止(想定内),404,404,404,20120604,20130323,旧サーバーも 404(Wayback からのみ復元可能)
/2012/member/show/0f9c5310-abf8-11e1-b4e5-22926aeab6a4,2012,show_detail,True,,現行ページからリンクあり→リンク切れ(要対応),404,404,404,20120930,20130222,旧サーバーも 404(Wayback からのみ復元可能)
